ID NUMBER,Building Address,City,State,Zip,PropertyType,Building Name,Latitude,Longitude,Number Of Stories,OPN,Star Rating,Submarket Cluster,Submarket Name,PROJECT NAME
13,1 S Halsted St,Chicago,IL,606613505,Multi-Family,One South Halsted,41.8814999,-87.6469249,46,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
40,1000 W Adams St,Chicago,IL,60607,Multi-Family,,41.8795668,-87.6525418,7,7,3 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
52,1001 W Madison St,Chicago,IL,60607,Multi-Family,,41.881428,-87.652634,7,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
54,100-106 S Sangamon St,Chicago,IL,60607,Multi-Family,,41.8802327,-87.6510788,4,7,2 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
56,100-140 S Ashland Ave,Chicago,IL,60607,Multi-Family,Paramount Lofts,41.8799715,-87.6670912,6,7,3 Star,Northwest Chicago MF,Near West Side MF,West Loop 
58,1002 W Van Buren St,Chicago,IL,606072916,Multi-Family,Van Buren Morgan Place,41.876791,-87.652234,4,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
90,1020 W Adams St,Chicago,IL,606072912,Multi-Family,No. Ten Lofts,41.879528,-87.653653,5,7,4 Star,Metro Chicago,River West,West Loop 
124,1041 W Madison St,Chicago,IL,60606,Multi-Family,,41.8813781,-87.6536331,4,7,3 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
162,108 N State St,Chicago,IL,606021608,Multi-Family,Block 37 Apartments,41.8841171,-87.6290977,34,NA,5 Star,Downtown Chicago MF,The Loop MF,Loop
170,11 S Green St,Chicago,IL,606072777,Multi-Family,Gateway Apartments,41.881411,-87.648209,17,7,5 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
208,111 S Morgan St,Chicago,IL,60607,Multi-Family,,41.8796635,-87.6516688,8,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
209,111 S Peoria St,Chicago,IL,60607,Multi-Family,,41.8800448,-87.6492546,13,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
217,111 W Wacker Dr,Chicago,IL,60601,Multi-Family,OneEleven,41.886514,-87.631409,60,4a,5 Star,Downtown Chicago MF,The Loop MF,Loop
231,1116 W Adams St,Chicago,IL,60607-290,Multi-Family,CA Condos,41.879458,-87.655645,1,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
315,1164-1212 W Madison St,Chicago,IL,606072023,Multi-Family,Madison at Racine,41.8820095,-87.6569927,9,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
340,1200 W Monroe St,Chicago,IL,606072565,Multi-Family,The Metro,41.880749,-87.657552,8,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
345,1201-1205 W Adams St,Chicago,IL,60607,Multi-Family,Promenade,41.8788,-87.657533,10,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
366,1222 W Madison St,Chicago,IL,60607,Multi-Family,Luxe On Madison,41.881959,-87.657983,5,7,3 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
368,1224 W Madison St,Chicago,IL,606071908,Multi-Family,Luxe on Madison Phase II,41.8817888,-87.658272,5,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
369,1224 W Van Buren St,Chicago,IL,606072804,Multi-Family,Van Buren Lofts,41.876824,-87.658451,8,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
373,1228 W Monroe St,Chicago,IL,60607,Multi-Family,,41.8806367,-87.658181,5,7,2 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
377,123 N Des Plaines St,Chicago,IL,60661,Multi-Family,Catalyst,41.883392,-87.64374,19,1,5 Star,Downtown Chicago MF,West Loop MF,Loop
381,123 N Sangamon St,Chicago,IL,60607,Multi-Family,123 Sangamon,41.8838643,-87.6506895,7,"Removed - WL pink
",4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
383,123 S Green St,Chicago,IL,60607,Multi-Family,Emerald Condominiums,41.879881,-87.6480817,11,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
398,1237 W Madison,Chicago,IL,60607,Multi-Family,,41.881369,-87.659294,4,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
399,1238 W Jackson Blvd,Chicago,IL,606073078,Multi-Family,Jackson Street Condominiums,41.8779564,-87.6587176,4,7,3 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
405,1242 W Jackson Blvd,Chicago,IL,60607,Multi-Family,Jackson Street Condominiums,41.877957,-87.658865,4,7,3 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
412,1248 W Jackson Blvd,Chicago,IL,60607,Multi-Family,Jackson Street Condominiums,41.877956,-87.659,4,7,3 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
418,125 S Jefferson St,Chicago,IL,606613663,Multi-Family,Park Alexandria Condominiums,41.879971,-87.64236,35,6,4 Star,Downtown Chicago MF,West Loop MF,Loop
423,1254 W Jackson Blvd,Chicago,IL,60607,Multi-Family,Jackson Street Condominiums,41.8779577,-87.6591549,4,7,3 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
426,126 W Kinzie St,Chicago,IL,606544508,Multi-Family,,41.8894758,-87.6322402,4,8,2 Star,Downtown Chicago MF,River North MF,River North 
450,1301 W Washington Blvd,Chicago,IL,60607,Multi-Family,,41.882707,-87.66022,6,"Removed - WL pink
",3 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
462,1313 W Randolph St,Chicago,IL,606072049,Multi-Family,1313 Randolph Street Lofts,41.883811,-87.659353,3,"Removed - WL pink
",4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
497,1342 W Randolph St,Chicago,IL,606071522,Multi-Family,,41.884598,-87.660539,6,"Removed - WL pink
",4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
500,1347 W Washington Blvd,Chicago,IL,606071937,Multi-Family,,41.882634,-87.661641,4,"Removed - WL pink
",3 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
506,1355 W Washington Blvd,Chicago,IL,60607,Multi-Family,,41.8826584,-87.6617799,6,"Removed - WL pink
",4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
514,1365 W Lake St,Chicago,IL,606071501,Multi-Family,,41.8852521,-87.6613616,4,"Removed - WL pink
",4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
541,15 N Bishop St,Chicago,IL,606071812,Multi-Family,,41.881989,-87.663284,4,"Removed - WL pink
",3 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
542,1-5 N Wabash Ave,Chicago,IL,606024872,Multi-Family,Jewellers Building,41.882293,-87.625653,17,4,3 Star,Downtown Chicago MF,The Loop MF,Loop
553,1500 W Madison St,Chicago,IL,60607-180,Multi-Family,Booth Manor,41.8818088,-87.6648318,6,"Removed - WL pink
",3 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
576,154 W Hubbard St,Chicago,IL,606544552,Multi-Family,Pfister Bldg,41.890229,-87.633289,6,8,4 Star,Downtown Chicago MF,River North MF,River North 
579,155 N Harbor Dr,Chicago,IL,606017364,Multi-Family,Harbor Point Tower,41.884973,-87.614697,54,Removed - No Color,4 Star,Downtown Chicago MF,The Loop MF,Loop
592,16 N Morgan St,Chicago,IL,606072612,Multi-Family,Acorn Lofts,41.882231,-87.65244,2,7,3 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
636,17 N Bishop St,Chicago,IL,60607,Multi-Family,,41.8822502,-87.6634011,,"Removed - WL pink
",3 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
638,17 N Loomis St,Chicago,IL,606071914,Multi-Family,Heartbreak Lofts,41.8820511,-87.6618772,4,"Removed - WL pink
",3 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
665,175 N Harbor Dr,Chicago,IL,60601,Multi-Family,North Harbor Tower,41.885486,-87.615367,55,Removed - No Color,4 Star,Downtown Chicago MF,The Loop MF,Loop
677,180 N Jefferson St,Chicago,IL,606611447,Multi-Family,180 N Jefferson Apartments,41.885465,-87.642995,28,1,4 Star,Downtown Chicago MF,West Loop MF,West Loop 
690,182 W Lake St,Chicago,IL,60601,Multi-Family,Century Tower,41.8859435,-87.6338204,28,4a,4 Star,Downtown Chicago MF,The Loop MF,Loop
695,185 N Wabash Ave,Chicago,IL,606013625,Multi-Family,MDA City Apartments,41.8855115,-87.6259118,24,4a,4 Star,Downtown Chicago MF,The Loop MF,Loop
697,188 W Randolph St,Chicago,IL,606012901,Multi-Family,Randolph Tower City Apartments,41.8847023,-87.6336362,43,3,4 Star,Downtown Chicago MF,The Loop MF,Loop
711,195 N Harbor Dr,Chicago,IL,606017514,Multi-Family,The Park Shore Condomiums,41.885691,-87.614622,56,Removed - No Color,3 Star,Downtown Chicago MF,The Loop MF,Loop
715,20 N Aberdeen St,Chicago,IL,606072001,Multi-Family,Madison Aberdeen Place,41.882104,-87.654603,4,"Removed - WL pink
",4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
718,20 N State St,Chicago,IL,606023680,Multi-Family,Millenium Park Lofts,41.882755,-87.628394,10,4,4 Star,Downtown Chicago MF,The Loop MF,Loop
728,200 N Dearborn St,Chicago,IL,60601,Multi-Family,200 North Dearborn,41.8860401,-87.6297672,46,4a,4 Star,Downtown Chicago MF,The Loop MF,Loop
730,200 N Jefferson St,Chicago,IL,60661,Multi-Family,Jefferson Tower,41.886023,-87.642986,25,1,4 Star,Downtown Chicago MF,West Loop MF,West Loop 
735,161-165 N Canal St,Chicago,IL,60606,Multi-Family,Randolph Place - Condominiums,41.885082,-87.639357,15,1,3 Star,Downtown Chicago MF,West Loop MF,West Loop 
739,200-214 N Michigan Ave,Chicago,IL,60601,Multi-Family,,41.8861598,-87.6249814,42,4a,5 Star,Downtown Chicago MF,The Loop MF,Loop
745,201 N Westshore Dr,Chicago,IL,60601,Multi-Family,The Lancaster,41.886263,-87.616004,29,Removed - No Color,4 Star,Downtown Chicago MF,The Loop MF,Loop
754,203 S Sangamon St,Chicago,IL,60607,Multi-Family, ,41.878832,-87.650203,3,7,3 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
766,208 W Washington St,Chicago,IL,60606,Multi-Family,Concord City Centre Lofts,41.883696,-87.634173,21,3,4 Star,Downtown Chicago MF,The Loop MF,Loop
771,21 N Bishop St,Chicago,IL,60607,Multi-Family,,41.8821329,-87.6634486,,"Removed - WL pink
",3 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
778,210 N Wells St,Chicago,IL,606061330,Multi-Family,210 N Wells,41.8860329,-87.6343392,42,4a,5 Star,Downtown Chicago MF,The Loop MF,Loop
780,210 S Des Plaines St,Chicago,IL,606615500,Multi-Family,The Edge Lofts and Tower,41.8788972,-87.6446123,21,6,4 Star,Downtown Chicago MF,West Loop MF,Loop
800,212-220 W Washington St,Chicago,IL,60606,Multi-Family,City Center Lofts,41.8834906,-87.6345405,20,4a,3 Star,Downtown Chicago MF,The Loop MF,Loop
802,213 N Racine Ave,Chicago,IL,606071644,Multi-Family,,41.886027,-87.656539,3,"Removed - WL pink
",2 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
804,21-33 W Ontario St,Chicago,IL,606547700,Multi-Family,Millennium Centre,41.89306,-87.629146,60,Removed - RN yellow,4 Star,Downtown Chicago MF,River North MF,River North 
814,215 W Washington St,Chicago,IL,60606,Multi-Family,215 West Apartments,41.88293,-87.63449,50,3,5 Star,Downtown Chicago MF,The Loop MF,Loop
816,216 N Clinton St,Chicago,IL,60661,Multi-Family,Clinton Street Lofts,41.886433,-87.641778,5,1,3 Star,Downtown Chicago MF,West Loop MF,West Loop 
819,216 N May St,Chicago,IL,60607,Multi-Family,May Market Lofts,41.8862145,-87.65604,4,"Removed - WL pink
",3 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
849,221-225 S Racine Ave,Chicago,IL,60607,Multi-Family,,41.8783501,-87.6567679,3,7,2 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
852,222 N Columbus Dr,Chicago,IL,606017810,Multi-Family,Park Millennium,41.886629,-87.621425,57,4a,4 Star,Downtown Chicago MF,The Loop MF,Loop
857,222 S Racine Ave,Chicago,IL,606072894,Multi-Family,The Daily News Building,41.878424,-87.657466,6,7,2 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
858,400 E Randolph St,Chicago,IL,606017329,Multi-Family,,41.8849329,-87.6163733,40,Removed - No Color,3 Star,Downtown Chicago MF,The Loop MF,Loop
868,225 N Columbus Dr,Chicago,IL,60601,Multi-Family,Aqua at Lakeshore East,41.8864654,-87.6198875,82,Removed - No Color,5 Star,Downtown Chicago MF,The Loop MF,Loop
873,225 S Racine Ave,Chicago,IL,60607,Multi-Family,,41.8781833,-87.6566955,2,7,2 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
874,225 S Sangamon St,Chicago,IL,606073196,Multi-Family,,41.878204,-87.650468,9,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
881,227 S Racine Ave,Chicago,IL,60607,Multi-Family,,41.8782495,-87.656799,2,7,2 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
911,235 W Van Buren St,Chicago,IL,60607,Multi-Family,235 Van Buren,41.876613,-87.634766,47,2,5 Star,Downtown Chicago MF,The Loop MF,Loop
913,24 S Morgan St,Chicago,IL,606073668,Multi-Family,Lux24,41.881003,-87.652457,12,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
934,28 E Jackson Blvd,Chicago,IL,60604-226,Multi-Family,Infinite Chicago,41.8783959,-87.6265859,19,5,4 Star,Downtown Chicago MF,The Loop MF,Loop
940,29 W Hubbard St,Chicago,IL,606545605,Multi-Family,,41.889873,-87.629204,5,9,2 Star,Downtown Chicago MF,River North MF,River North 
941,3 N Aberdeen St,Chicago,IL,606072001,Multi-Family,,41.8822453,-87.6540875,4,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
952,300 N Canal St,Chicago,IL,60661,Multi-Family,Left Bank At K Station,41.887215,-87.640353,37,1,5 Star,Downtown Chicago MF,West Loop MF,Loop
966,233 E Wacker Dr,Chicago,IL,606015104,Multi-Family,Columbus Plaza,41.887666,-87.621147,47,4a,3 Star,Downtown Chicago MF,The Loop MF,Loop
983,310 S Michigan Ave,Chicago,IL,606044207,Multi-Family,Metropolitan Tower,41.877965,-87.624878,30,Removed - No Color,4 Star,Downtown Chicago MF,The Loop MF,Loop
1003,315 S Peoria St,Chicago,IL,606073060,Multi-Family,Tailor Lofts,41.877652,-87.649283,10,7,3 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
1011,318 S Throop St,Chicago,IL,60607,Multi-Family,Academy Square Apartments,41.8770732,-87.6599415,7,7,2 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
1014,318-320 S Michigan Ave,Chicago,IL,606044235,Multi-Family,Richelieu Flats,41.8776343,-87.6248182,7,5,3 Star,Downtown Chicago MF,The Loop MF,Loop
1021,32 W Randolph St,Chicago,IL,606013423,Multi-Family,Oriental Theatre Apartments,41.8846529,-87.6289347,22,4,5 Star,Downtown Chicago MF,The Loop MF,Loop
